"SourceFile","identifiant","type_formation","filiere","date_diplome","emploi_formation","satisfaction_formation","alternance","recommandation_polytech","ig_avantage_double_competence","remuneration_annuelle_brute","prime","remuneration_prime"
"1","1883551375283220","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"",4,"","Oui","",NA,"",NA
"1","1788522869361690","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",4,"","Oui","",33500,"Non",33500
"1","1775263968331510","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",4,"","Oui","",30000,"Non",30000
"1","1768183681473490","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"",4,"","Oui","",NA,"",NA
"1","1768367524438020","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",4,"","Oui","",38000,"Oui",41094
"1","1757617280501340","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",4,"","Oui","",31722,"Non",31722
"1","1789196359781300","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"",4,"","Oui","",NA,"",NA
"1","1783297923299510","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",4,"","Oui","",NA,"",NA
"1","1882421169635880","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",2,"","Non","",30000,"Non",30000
"1","1783297988373250","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",5,"","Oui","",34000,"Non",34000
"1","1793786671051110","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"",3,"","Oui","",NA,"",NA
"1","1776106957262200","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"",5,"","","",NA,"",NA
"1","1767193880992300","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2016,"oui",4,"","Oui","",32000,"Non",32000
"1","1776166978309990","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2015,"oui",4,"","Oui","",30000,"Oui",32000
"1","1793838194320470","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2016,"oui",NA,"","","",28000,"Oui",30000
